ID,property_scope,availability,location,size,total_sqft,bath,balcony,buying or not buying,BER,Renovation needed,price-per-sqft-$
5439,Extended Coverage,Ready To Move,Dun Laoghaire,2 BED,1344,2,1,No,E,Yes,912.0535714
5440,Extended Coverage,18-Jun,South Dublin,3 BED,1275,2,2,Yes,A,No,354.2972549
5441,Land Parcel,Ready To Move,Fingal,3 Bedroom,462,3,,No,F,Yes,933.5497835
5442,Extended Coverage,Ready To Move,Fingal,4 BED,3300,5,3,No,D,Yes,1093.727273
5443,Extended Coverage,Ready To Move,DCC,2 BED,1210,2,2,No,E,Yes,797.3140496
5444,Extended Coverage,19-Jun,Dun Laoghaire,3 BED,1320,3,3,Yes,B,Maybe,1943.257576
5445,Extended Coverage,19-Mar,DCC,3 BED,1532,3,2,No,G,Yes,727.0071802
5446,Extended Coverage,Ready To Move,DCC,2 BED,1245,2,2,No,D,Yes,1002.811245
5447,Extended Coverage,Ready To Move,DCC,2 BED,1212,2,,Yes,E,Yes,468.2343234
5448,Extended Coverage,18-Oct,Dun Laoghaire,2 BED,1230,2,1,No,C,Maybe,599.796748
5449,Land Parcel,Ready To Move,DCC,5 Bedroom,1000,5,2,No,A,No,2043
5450,Extended Coverage,Ready To Move,DCC,3 BED,2257,3,2,No,F,Yes,799.5790873
5451,Extended Coverage,Ready To Move,DCC,2 BED,1246,2,1,No,G,Yes,595.7383628
5452,Extended Coverage,Ready To Move,South Dublin,2 BED,1080,2,2,No,E,Yes,430.8796296
5453,Land Parcel,Ready To Move,Fingal,6 Bedroom,3Cents,6,3,No,B,Maybe,
5454,Extended Coverage,Ready To Move,DCC,3 BED,1360,2,3,No,F,Yes,709.375
5455,Extended Coverage,Ready To Move,South Dublin,2 BED,1260,2,2,No,G,Yes,431.3
5456,Constructed Space,Ready To Move,Fingal,4 Bedroom,1200,3,0,No,F,Yes,1040.416667
5457,Extended Coverage,Ready To Move,DCC,2 BED,1418,2,2,No,A,No,832.4400564
5458,Land Parcel,Ready To Move,Other,3 Bedroom,1200,3,1,No,B,Maybe,1560.625
5459,Extended Coverage,Ready To Move,DCC,2 BED,950,2,1,No,F,Yes,465.9473684
5460,Extended Coverage,Ready To Move,DCC,2 BED,1020,2,2,Yes,B,Maybe,612.0098039
5461,Extended Coverage,18-May,Fingal,3 BED,1400,2,2,No,F,Yes,327.8528571
5462,Land Parcel,Ready To Move,Fingal,4 Bedroom,1440,4,0,Yes,A,No,693.6111111
5463,Constructed Space,Ready To Move,Fingal,6 BED,800,6,2,No,A,No,1064.0625
5464,Extended Coverage,18-Sep,DCC,3 BED,1310 - 1615,,,No,D,Yes,
5465,Extended Coverage,18-May,DCC,2 BED,1175,2,1,No,F,Yes,666.5106383
5466,Extended Coverage,Ready To Move,Fingal,2 BED,1185,2,1,Yes,A,No,384.750211
5467,Extended Coverage,Ready To Move,Fingal,3 BED,2250,3,1,No,C,Maybe,570.0222222
5468,Extended Coverage,Ready To Move,Dun Laoghaire,2 BED,1178,2,2,No,D,Yes,389.5415959
5469,Extended Coverage,Ready To Move,South Dublin,4 BED,36000,4,2,No,F,Yes,141.875
5470,Extended Coverage,Ready To Move,Dun Laoghaire,1 BED,825,1,1,Yes,B,Maybe,617.7151515
5471,Extended Coverage,18-May,Fingal,3 BED,1250,3,2,No,F,Yes,390.44
5472,Extended Coverage,Ready To Move,DCC,2 BED,1113.12,2,2,Yes,F,Yes,560.8110536
5473,Extended Coverage,Ready To Move,Fingal,3 BED,1718,3,3,No,D,Yes,1473.253783
5474,Extended Coverage,Ready To Move,DCC,2 BED,1010,2,1,No,B,Maybe,393.3168317
5475,Extended Coverage,21-Dec,Dun Laoghaire,2 BED,900,2,1,Yes,B,Maybe,517.0555556
5476,Land Parcel,Ready To Move,Fingal,4 Bedroom,1500,4,3,No,G,Yes,1816
5477,Land Parcel,Ready To Move,South Dublin,1 Bedroom,540,1,1,No,C,Maybe,346.8055556
5478,Extended Coverage,18-May,Dun Laoghaire,2 BED,1020,2,2,No,D,Yes,327.8147059
5479,Extended Coverage,18-Jun,DCC,2 BED,1194,2,1,No,A,No,681
5480,Land Parcel,Ready To Move,Fingal,8 Bedroom,1470,6,2,No,G,Yes,2316.326531
5481,Land Parcel,Ready To Move,South Dublin,3 Bedroom,600,4,2,No,F,Yes,1891.666667
5482,Extended Coverage,Ready To Move,Dun Laoghaire,2 BED,1108,2,1,Yes,G,Yes,687.8628159
5483,Constructed Space,Ready To Move,Dun Laoghaire,4 BED,3895,2,1,No,F,Yes,1314.210526
5484,Extended Coverage,21-Jan,Dun Laoghaire,2 BED,700,2,1,No,G,Yes,567.3371429
5485,Extended Coverage,Ready To Move,South Dublin,3 BED,1600,3,3,Yes,A,No,482.375
5486,Extended Coverage,Ready To Move,DCC,3 BED,1850,3,2,No,F,Yes,552.1621622
5487,Extended Coverage,Ready To Move,Fingal,2 BED,1250,2,2,No,G,Yes,299.64
5488,Constructed Space,Ready To Move,DCC,1 Bedroom,600,1,1,No,F,Yes,813.4166667
5489,Extended Coverage,Ready To Move,Fingal,2 BED,1140,2,1,Yes,F,Yes,490.5385965
5490,Extended Coverage,Ready To Move,Fingal,3 BED,1200,2,2,Yes,B,Maybe,709.375
5491,Extended Coverage,Ready To Move,Fingal,2 BED,985,2,1,No,A,No,633.7563452
5492,Extended Coverage,Ready To Move,DCC,2 BED,982,2,2,Yes,D,Yes,635.6924644
5493,Constructed Space,Ready To Move,Fingal,1 BED,600,1,0,No,E,Yes,378.3333333
5494,Extended Coverage,Ready To Move,DCC,3 BED,2640,5,1,No,D,Yes,610.4924242
5495,Extended Coverage,Ready To Move,DCC,2 BED,1314,2,2,No,G,Yes,594.2770167
5496,Extended Coverage,Ready To Move,Fingal,3 BED,1700,2,2,No,F,Yes,457.3382353
5497,Extended Coverage,18-May,South Dublin,2 BED,1077,2,2,No,F,Yes,980.0835655
5498,Constructed Space,Ready To Move,Fingal,4 Bedroom,1782 - 2000,,,No,D,Yes,
5499,Extended Coverage,Ready To Move,Fingal,5 BED,2000,4,1,No,B,Maybe,561.825
5500,Extended Coverage,Ready To Move,Other,3 BED,1643,3,2,Yes,B,Maybe,518.1071211
5501,Land Parcel,Ready To Move,DCC,3 Bedroom,1200,3,1,No,B,Maybe,633.7083333
5502,Extended Coverage,Ready To Move,Dun Laoghaire,2 BED,1116,2,1,Yes,B,Maybe,527.937276
5503,Extended Coverage,Ready To Move,South Dublin,2 BED,1020,2,1,Yes,A,No,465.35
5504,Constructed Space,Ready To Move,DCC,7 Bedroom,621,7,,Yes,G,Yes,1169.726248
5505,Constructed Space,Ready To Move,Fingal,3 BED,1740,3,2,Yes,D,Yes,358.7643678
5506,Extended Coverage,18-May,South Dublin,2 BED,1225,2,2,No,E,Yes,435.4693878
5507,Constructed Space,Ready To Move,Dun Laoghaire,3 BED,1241,2,1,Yes,B,Maybe,557.8968574
5508,Extended Coverage,Ready To Move,DCC,2 BED,1041,2,2,No,C,Maybe,442.660903
5509,Extended Coverage,Ready To Move,Fingal,2 BED,1050,2,2,No,D,Yes,497.2380952
5510,Extended Coverage,18-Mar,Fingal,3 BED,4400,3,1,No,G,Yes,2324.170455
5511,Extended Coverage,21-May,Dun Laoghaire,2 BED,1309,2,3,No,F,Yes,558.3086325
5512,Extended Coverage,Ready To Move,South Dublin,2 BED,1128,2,2,No,D,Yes,452.7925532
5513,Extended Coverage,Ready To Move,Fingal,3 BED,1430,2,1,No,A,No,396.8531469
5514,Extended Coverage,19-Dec,DCC,2 BED,1065,2,1,Yes,F,Yes,510.057277
5515,Extended Coverage,Ready To Move,South Dublin,2 BED,1085,2,1,Yes,C,Maybe,669.4930876
5516,Land Parcel,Ready To Move,South Dublin,1 Bedroom,750,1,1,Yes,A,No,454
5517,Extended Coverage,Ready To Move,DCC,2 BED,981,2,2,No,B,Maybe,431.3231397
5518,Usable Interior,18-Dec,DCC,4 BED,1548.3,4,1,No,G,Yes,945.6500678
5519,Extended Coverage,Ready To Move,Fingal,4 BED,2302,4,2,No,B,Maybe,1479.148566
5520,Constructed Space,Ready To Move,South Dublin,3 BED,1410,2,2,No,D,Yes,482.9787234
5521,Extended Coverage,19-Mar,DCC,3 BED,1525.84,3,1,Yes,B,Maybe,870.3075028
5522,Extended Coverage,Ready To Move,DCC,2 BED,1200,2,2,Yes,E,Yes,402.925
5523,Constructed Space,Ready To Move,Fingal,2 BED,1030,2,2,No,F,Yes,881.5533981
5524,Extended Coverage,Ready To Move,South Dublin,3 BED,1852,2,,No,F,Yes,582.2084233
5525,Constructed Space,18-Dec,Dun Laoghaire,2 BED,1160,2,1,Yes,A,No,327.7801724
5526,Constructed Space,Ready To Move,DCC,2 BED,918,2,1,No,F,Yes,605.8278867
5527,Extended Coverage,19-Dec,Dun Laoghaire,3 BED,1255,2,1,Yes,B,Maybe,813.9442231
5528,Land Parcel,Ready To Move,South Dublin,6 Bedroom,1200,6,3,No,C,Maybe,2364.583333
5529,Constructed Space,Ready To Move,DCC,3 BED,1150,2,2,No,D,Yes,492.4913043
5530,Extended Coverage,Ready To Move,DCC,3 BED,2700,3,,No,F,Yes,1362
5531,Constructed Space,18-Mar,Fingal,2 BED,1150,2,2,No,E,Yes,681
5532,Extended Coverage,Ready To Move,Dun Laoghaire,2 BED,1227,2,2,No,D,Yes,494.792991
5533,Extended Coverage,18-Dec,Dun Laoghaire,3 BED,1255,3,2,Yes,G,Yes,702.5243028
5534,Land Parcel,Ready To Move,Fingal,6 Bedroom,840,8,0,No,C,Maybe,1621.428571
5535,Extended Coverage,Ready To Move,DCC,2 BED,1198,2,1,No,D,Yes,776.8781302
5536,Land Parcel,Ready To Move,South Dublin,3 Bedroom,1200,3,1,Yes,E,Yes,1513.333333
5537,Constructed Space,Ready To Move,Fingal,3 BED,188.89Sq. Yards,3,1,Yes,B,Maybe,
5538,Constructed Space,Ready To Move,Fingal,4 Bedroom,2600,3,1,No,E,Yes,414.7115385
5539,Extended Coverage,Ready To Move,DCC,3 BED,2072,4,2,No,G,Yes,761.4140927
5540,Extended Coverage,Ready To Move,South Dublin,2 BED,797,2,1,Yes,C,Maybe,455.7089084
5541,Constructed Space,Ready To Move,Fingal,3 BED,1350,2,3,No,E,Yes,571.7037037
5542,Constructed Space,Ready To Move,Fingal,4 BED,2500,4,,No,F,Yes,908
5543,Extended Coverage,Ready To Move,DCC,3 BED,2215,4,2,No,C,Maybe,819.8645598
5544,Extended Coverage,21-Dec,Dun Laoghaire,1 BED,525,1,1,No,C,Maybe,648.5714286
5545,Extended Coverage,Ready To Move,Fingal,4 BED,2700,4,3,No,B,Maybe,1092.962963
5546,Extended Coverage,Ready To Move,Other,3 BED,1500,2,1,Yes,G,Yes,681
5547,Land Parcel,Ready To Move,Fingal,2 Bedroom,900,2,0,No,B,Maybe,693.6111111
5548,Extended Coverage,Ready To Move,South Dublin,3 BED,1355,2,3,Yes,A,No,488.0915129
5549,Extended Coverage,Ready To Move,Fingal,3 BED,1465,2,2,No,E,Yes,385.8996587
5550,Land Parcel,Ready To Move,DCC,2 Bedroom,1006,2,1,No,D,Yes,643.0914513
5551,Constructed Space,Ready To Move,South Dublin,4 BED,2000,4,1,No,B,Maybe,425.625
5552,Extended Coverage,18-Aug,Dun Laoghaire,2 BED,1128,2,1,No,D,Yes,661.0771277
5553,Constructed Space,Ready To Move,Fingal,2 BED,850,2,0,No,B,Maybe,467.3529412
5554,Extended Coverage,Ready To Move,South Dublin,3 BED,1310,2,3,No,B,Maybe,589.1603053
5555,Extended Coverage,Ready To Move,DCC,2 BED,1390,2,2,Yes,C,Maybe,702.2302158
5556,Extended Coverage,Ready To Move,South Dublin,3 BED,1390,2,2,Yes,D,Yes,624.2496403
5557,Land Parcel,Ready To Move,Fingal,4 Bedroom,2396,4,2,No,C,Maybe,1539.545075
5558,Extended Coverage,Ready To Move,Dun Laoghaire,2 BED,1170,2,1,Yes,D,Yes,320.1282051
5559,Extended Coverage,Ready To Move,DCC,3 BED,1385,2,2,No,F,Yes,409.7472924
5560,Extended Coverage,Ready To Move,DCC,2 BED,1160,2,1,No,D,Yes,410.9482759
5561,Extended Coverage,18-May,Fingal,2 BED,1160,2,1,Yes,D,Yes,327.7801724
5562,Extended Coverage,Ready To Move,Fingal,3 BED,1200,2,2,No,E,Yes,652.625
5563,Extended Coverage,Ready To Move,Fingal,2 BED,1475,2,2,No,A,No,423.220339
5564,Constructed Space,20-Jul,Dun Laoghaire,3 Bedroom,1939,3,0,Yes,E,Yes,573.6462094
5565,Constructed Space,Ready To Move,Fingal,2 BED,850,2,2,No,B,Maybe,560.8235294
5566,Constructed Space,17-May,DCC,1 BED,675,1,1,Yes,E,Yes,756.6666667
5567,Constructed Space,Ready To Move,Dun Laoghaire,2 BED,1060,2,1,No,C,Maybe,546.0849057
5568,Extended Coverage,18-Jun,Dun Laoghaire,2 BED,1235,2,2,No,C,Maybe,431.9433198
5569,Land Parcel,18-May,Other,2 Bedroom,600,4,1,Yes,D,Yes,2080.833333
5570,Extended Coverage,Ready To Move,Fingal,2 BED,1250,2,1,Yes,E,Yes,544.8
5571,Extended Coverage,Ready To Move,DCC,2 BED,1460,2,3,No,D,Yes,544.1780822
5572,Extended Coverage,Ready To Move,DCC,3 BED,1690,3,2,Yes,G,Yes,570.8579882
5573,Constructed Space,Ready To Move,DCC,1 BED,850,1,2,No,C,Maybe,761.1176471
5574,Extended Coverage,Ready To Move,Dun Laoghaire,3 BED,1843,3,2,No,G,Yes,504.9918611
5575,Constructed Space,Ready To Move,Fingal,3 BED,1680,3,2,No,C,Maybe,790.4464286
5576,Extended Coverage,Ready To Move,DCC,2 BED,1047,2,1,No,B,Maybe,910.6017192
5577,Extended Coverage,18-Jun,DCC,2 BED,1100,2,2,No,D,Yes,361.1363636
5578,Land Parcel,Ready To Move,DCC,8 Bedroom,3250,8,1,No,C,Maybe,2095.384615
5579,Extended Coverage,Ready To Move,DCC,2 BED,1120,2,3,No,D,Yes,537.0982143
5580,Extended Coverage,Ready To Move,Fingal,2 BED,1095,2,2,No,D,Yes,397.3013699
5581,Extended Coverage,19-Oct,Fingal,2 BED,970,2,2,No,F,Yes,409.5360825
5582,Land Parcel,Ready To Move,Fingal,5 Bedroom,1200,7,2,Yes,E,Yes,1182.291667
5583,Constructed Space,Ready To Move,DCC,3 BED,1100,2,3,Yes,F,Yes,877.0454545
5584,Extended Coverage,Ready To Move,Dun Laoghaire,3 BED,1685,3,2,No,D,Yes,572.5519288
5585,Constructed Space,Ready To Move,Fingal,2 BED,1148,2,1,No,B,Maybe,583.3188153
5586,Constructed Space,Ready To Move,Fingal,2 BED,1050,2,1,No,F,Yes,702.6190476
5587,Extended Coverage,Ready To Move,Fingal,3 BED,1465,2,1,No,F,Yes,588.8054608
5588,Land Parcel,Ready To Move,DCC,4 Bedroom,3401,5,,No,B,Maybe,767.5683622
5589,Constructed Space,17-Dec,Dun Laoghaire,1 BED,630,1,1,Yes,A,No,1080.952381
5590,Extended Coverage,Ready To Move,Fingal,3 BED,1850,3,1,No,A,No,920.2702703
5591,Land Parcel,Ready To Move,Fingal,9 Bedroom,1200,9,,No,F,Yes,1655.208333
5592,Constructed Space,Ready To Move,Fingal,4 Bedroom,1750,2,1,No,A,No,1459.285714
5593,Constructed Space,Ready To Move,Fingal,3 BED,1350,3,1,Yes,E,Yes,504.4444444
5594,Extended Coverage,Ready To Move,South Dublin,3 BED,1760,3,2,Yes,C,Maybe,1031.818182
5595,Extended Coverage,Ready To Move,Fingal,2 BED,1440,2,2,No,E,Yes,1458.159722
5596,Extended Coverage,Ready To Move,South Dublin,2 BED,1200,2,0,No,B,Maybe,397.25
5597,Constructed Space,Ready To Move,Fingal,2 BED,1100,2,1,No,E,Yes,804.8181818
5598,Constructed Space,Ready To Move,DCC,2 BED,1140,2,2,No,F,Yes,457.9824561
5599,Extended Coverage,19-Aug,DCC,3 BED,1469 - 1766,3,0,No,G,Yes,
5600,Extended Coverage,Ready To Move,DCC,2 BED,1410,2,2,No,C,Maybe,362.2340426
5601,Extended Coverage,Ready To Move,Fingal,3 BED,1434,2,1,No,G,Yes,533.3863319
5602,Land Parcel,Ready To Move,Other,2 Bedroom,1180,2,2,No,D,Yes,711.779661
5603,Extended Coverage,Ready To Move,DCC,2 BED,1160,2,2,No,F,Yes,410.9482759
5604,Extended Coverage,Ready To Move,South Dublin,2 BED,1343,2,2,No,C,Maybe,726.805659
5605,Constructed Space,Ready To Move,South Dublin,2 BED,1184,2,1,No,C,Maybe,661.4442568
5606,Extended Coverage,Ready To Move,DCC,3 BED,2246,3,0,Yes,G,Yes,1516.028495
5607,Constructed Space,Ready To Move,Fingal,3 Bedroom,4510,4,3,Yes,A,No,503.3259424
5608,Extended Coverage,Ready To Move,South Dublin,3 BED,1305,2,1,No,B,Maybe,513.1417625
5609,Extended Coverage,Ready To Move,Dun Laoghaire,4 BED,3785,5,,No,E,Yes,839.6301189
5610,Extended Coverage,Ready To Move,Fingal,3 BED,1540,3,2,Yes,C,Maybe,626.461039
5611,Extended Coverage,Ready To Move,Dun Laoghaire,3 BED,1550,3,3,No,C,Maybe,476.7729032
5612,Extended Coverage,Ready To Move,Dun Laoghaire,3 BED,1345,2,1,Yes,B,Maybe,481.0037175
5613,Extended Coverage,Ready To Move,Fingal,3 BED,975,2,2,No,D,Yes,523.8461538
5614,Extended Coverage,Ready To Move,DCC,2 BED,1140,2,2,No,C,Maybe,457.9824561
5615,Extended Coverage,18-Aug,DCC,2 BED,1152,2,1,Yes,G,Yes,340.5
5616,Constructed Space,Ready To Move,Fingal,4 Bedroom,3200,4,2,No,F,Yes,2482.8125
5617,Extended Coverage,19-Dec,Fingal,3 BED,1033,2,2,Yes,F,Yes,346.1035818
5618,Extended Coverage,Ready To Move,Fingal,3 BED,1800,3,0,Yes,D,Yes,1450.277778
5619,Extended Coverage,Ready To Move,Fingal,2 BED,1102,2,2,No,F,Yes,552.7713249
5620,Extended Coverage,Ready To Move,Fingal,3 BED,1223,2,2,Yes,D,Yes,397.2959935
5621,Extended Coverage,18-Mar,Fingal,3 BED,1762,3,3,No,C,Maybe,721.4528944
5622,Constructed Space,Ready To Move,Fingal,2 BED,560,2,1,Yes,D,Yes,336.4464286
5623,Constructed Space,Ready To Move,DCC,6 Bedroom,2000,6,0,Yes,D,Yes,482.375
5624,Extended Coverage,Ready To Move,Dun Laoghaire,3 BED,1410,2,2,No,C,Maybe,305.8865248
5625,Extended Coverage,19-Dec,Dun Laoghaire,3 BED,1853,3,1,Yes,D,Yes,397.280626
5626,Extended Coverage,Ready To Move,DCC,2 BED,1455,2,,No,C,Maybe,538.2474227
5627,Extended Coverage,18-Jan,Dun Laoghaire,2 BED,1138,2,1,Yes,B,Maybe,1097.100176
5628,Constructed Space,Ready To Move,Dun Laoghaire,3 Bedroom,2556,3,2,No,E,Yes,750.4499218
5629,Extended Coverage,18-May,DCC,3 BED,1200,2,0,Yes,G,Yes,628.9791667
5630,Extended Coverage,Ready To Move,Fingal,2 BED,1200,2,2,No,G,Yes,349.9583333
5631,Extended Coverage,Ready To Move,Dun Laoghaire,3 BED,204Sq. Meter,4,2,No,G,Yes,
5632,Land Parcel,19-Jan,Fingal,2 Bedroom,1200,1,1,No,G,Yes,340.5
5633,Extended Coverage,19-Jun,Dun Laoghaire,3 BED,1870,3,2,Yes,B,Maybe,837.5935829
5634,Extended Coverage,18-May,DCC,2 BED,1199,2,1,Yes,G,Yes,814.0950792
5635,Land Parcel,Ready To Move,Other,6 Bedroom,800,8,,No,F,Yes,2128.125
5636,Extended Coverage,Ready To Move,South Dublin,3 BED,1360,2,2,Yes,E,Yes,454
5637,Extended Coverage,Ready To Move,South Dublin,3 BED,1230,3,3,No,C,Maybe,489.0650407
5638,Extended Coverage,Ready To Move,Fingal,3 BED,2000,3,2,No,E,Yes,681
5639,Land Parcel,Ready To Move,South Dublin,4 Bedroom,1200,4,2,No,C,Maybe,2364.583333
5640,Extended Coverage,Ready To Move,DCC,2 BED,1047,2,1,No,D,Yes,899.7612225
5641,Land Parcel,18-Mar,Fingal,4 Bedroom,6000,4,,No,F,Yes,491.8333333
5642,Land Parcel,18-Feb,DCC,2 Bedroom,1200,2,1,No,E,Yes,718.8333333
5643,Extended Coverage,18-Jan,Fingal,2 BED,1255 - 1350,2,0,No,E,Yes,
5644,Extended Coverage,Ready To Move,DCC,2 BED,725,2,1,No,A,No,469.6551724
5645,Extended Coverage,Ready To Move,DCC,3 BED,1645,3,1,Yes,A,No,689.9696049
5646,Constructed Space,Ready To Move,South Dublin,2 BED,870,2,1,Yes,A,No,847.9885057
5647,Extended Coverage,Ready To Move,Fingal,2 BED,1026,2,1,No,C,Maybe,552.5653021
5648,Constructed Space,18-Jul,Other,3 BED,2000,3,1,No,E,Yes,822.875
5649,Extended Coverage,Ready To Move,South Dublin,2 BED,1710,2,2,No,G,Yes,1327.48538
5650,Extended Coverage,18-Apr,DCC,3 BED,1766,3,1,Yes,C,Maybe,835.5039638
5651,Extended Coverage,Ready To Move,Fingal,1 BED,500,1,1,Yes,B,Maybe,340.5
5652,Constructed Space,18-Apr,DCC,2 BED,1100,1,1,No,E,Yes,154.7727273
5653,Extended Coverage,Ready To Move,DCC,3 BED,1221,3,3,No,G,Yes,483.3742834
5654,Extended Coverage,Ready To Move,DCC,1 BED,680,1,1,No,E,Yes,767.7941176
5655,Extended Coverage,Ready To Move,Dun Laoghaire,2 BED,1278,2,2,No,D,Yes,799.2957746
5656,Extended Coverage,Ready To Move,South Dublin,2 BED,1025,2,2,No,F,Yes,730.8292683
5657,Extended Coverage,18-Aug,Dun Laoghaire,2 BED,1175,2,1,Yes,D,Yes,376.7234043
5658,Extended Coverage,19-Jul,Dun Laoghaire,2 BED,870 - 1080,2,0,No,G,Yes,
5659,Constructed Space,Ready To Move,South Dublin,1 Bedroom,600,1,1,No,D,Yes,1418.75
5660,Extended Coverage,Ready To Move,Other,2 BED,850,2,1,No,B,Maybe,560.8235294
5661,Extended Coverage,Ready To Move,South Dublin,2 BED,710,2,0,Yes,A,No,399.6478873
5662,Constructed Space,18-Dec,Fingal,2 BED,1165,2,1,No,D,Yes,327.7373391
5663,Extended Coverage,18-Apr,DCC,1 BED,625,1,1,No,B,Maybe,345.04
5664,Extended Coverage,Ready To Move,DCC,3 BED,1340,3,1,No,D,Yes,559.0298507
5665,Extended Coverage,Ready To Move,Fingal,2 BED,937,2,1,No,B,Maybe,423.959445
5666,Land Parcel,Ready To Move,Fingal,7 Bedroom,1500,6,0,No,A,No,1589
5667,Extended Coverage,Ready To Move,DCC,1 BED,750,1,1,No,A,No,794.5
5668,Constructed Space,Ready To Move,South Dublin,5 Bedroom,45Sq. Yards,6,3,No,D,Yes,
5669,Constructed Space,Ready To Move,South Dublin,3 BED,1475,3,3,Yes,D,Yes,600.2033898
5670,Land Parcel,Ready To Move,Fingal,4 Bedroom,2230,4,1,No,B,Maybe,661.6591928
5671,Land Parcel,Ready To Move,Fingal,4 Bedroom,2200,5,1,No,E,Yes,515.9090909
5672,Land Parcel,Ready To Move,DCC,2 Bedroom,900,2,0,No,B,Maybe,819.7222222
5673,Extended Coverage,Ready To Move,Fingal,2 BED,1116,2,2,No,F,Yes,376.2992832
5674,Constructed Space,Ready To Move,DCC,2 BED,948,2,1,No,C,Maybe,897.943038
5675,Extended Coverage,Ready To Move,Fingal,2 BED,970,2,1,Yes,E,Yes,643.556701
5676,Extended Coverage,Ready To Move,Fingal,3 BED,1519,3,2,No,F,Yes,502.3436471
5677,Extended Coverage,Ready To Move,Dun Laoghaire,3 BED,1200,2,1,Yes,B,Maybe,614.7916667
5678,Extended Coverage,Ready To Move,DCC,3 BED,1760,3,2,No,E,Yes,819.0056818
5679,Land Parcel,Ready To Move,Dun Laoghaire,4 Bedroom,4400,5,3,Yes,B,Maybe,1354.261364
5680,Extended Coverage,Ready To Move,Fingal,3 BED,1914,3,3,Yes,D,Yes,1061.46813
5681,Extended Coverage,Ready To Move,DCC,3 BED,1820,3,2,No,E,Yes,533.2005495
5682,Extended Coverage,Ready To Move,DCC,3 BED,1820,3,2,Yes,D,Yes,579.9725275
5683,Constructed Space,Ready To Move,Fingal,3 BED,1565,3,2,No,G,Yes,565.686901
5684,Extended Coverage,Ready To Move,DCC,2 BED,1334,2,3,No,F,Yes,363.2166417
5685,Extended Coverage,19-Mar,South Dublin,2 BED,924,2,2,Yes,C,Maybe,936.3744589
5686,Extended Coverage,Ready To Move,DCC,2 BED,914,2,2,Yes,G,Yes,608.4792123
5687,Constructed Space,Ready To Move,DCC,1 BED,500,1,1,No,E,Yes,385.9
5688,Extended Coverage,18-Mar,Dun Laoghaire,3 BED,2145,3,3,Yes,B,Maybe,661.4219114
5689,Land Parcel,Ready To Move,Dun Laoghaire,5 Bedroom,1200,5,,No,F,Yes,1532.25
5690,Constructed Space,18-Apr,Dun Laoghaire,3 BED,1650,3,2,Yes,B,Maybe,687.8787879
5691,Extended Coverage,Ready To Move,Fingal,4 BED,3940,4,3,No,A,No,633.7563452
5692,Constructed Space,18-Dec,Dun Laoghaire,2 BED,1020,2,1,Yes,C,Maybe,327.7029412
5693,Constructed Space,Ready To Move,South Dublin,2 BED,1180,2,3,Yes,A,No,557.8813559
5694,Extended Coverage,Ready To Move,South Dublin,2 BED,1255,2,3,No,E,Yes,1085.258964
5695,Extended Coverage,20-Jul,Fingal,3 BED,2777.29,5,2,No,E,Yes,2656.366458
5696,Extended Coverage,Ready To Move,Fingal,2 BED,1014,2,1,No,E,Yes,391.765286
5697,Constructed Space,Ready To Move,South Dublin,4 Bedroom,920,2,0,No,C,Maybe,1110.326087
5698,Extended Coverage,Ready To Move,Fingal,2 BED,695,1,1,No,D,Yes,408.2733813
5699,Land Parcel,Ready To Move,South Dublin,3 Bedroom,2273,4,3,No,G,Yes,1098.548174
5700,Extended Coverage,18-Mar,South Dublin,2 BED,1140,2,2,No,D,Yes,487.3526316
5701,Constructed Space,Ready To Move,South Dublin,6 Bedroom,3000,4,1,Yes,E,Yes,1418.75
5702,Extended Coverage,Ready To Move,Dun Laoghaire,2 BED,1180,2,2,No,F,Yes,394.3644068
5703,Extended Coverage,20-Aug,DCC,4 BED,2400,4,2,No,D,Yes,718.8333333
5704,Extended Coverage,Ready To Move,Fingal,2 BED,850,1,1,No,E,Yes,333.8235294
5705,Extended Coverage,Ready To Move,DCC,2 BED,1200,2,1,No,E,Yes,567.5
5706,Constructed Space,18-Dec,Other,4 BED,3160,4,3,No,D,Yes,739.9050633
5707,Extended Coverage,Ready To Move,DCC,3 BED,1769,3,3,No,E,Yes,621.5228943
5708,Land Parcel,Ready To Move,DCC,4 Bedroom,133.3Sq. Yards,3,2,No,A,No,
5709,Usable Interior,18-Dec,DCC,4 BED,1554.3,4,1,No,B,Maybe,956.6042592
5710,Extended Coverage,Ready To Move,Fingal,2 BED,1243,2,2,No,F,Yes,420.0321802
5711,Land Parcel,18-Apr,Fingal,4 Bedroom,4920,5,2,No,B,Maybe,2652.947154
5712,Extended Coverage,Ready To Move,South Dublin,2 BED,905,2,1,No,G,Yes,501.6574586
5713,Constructed Space,Ready To Move,DCC,1 Bedroom,627,1,1,No,D,Yes,543.062201
5714,Constructed Space,18-Mar,South Dublin,3 BED,2180,3,2,No,G,Yes,1483.830275
5715,Extended Coverage,Ready To Move,Fingal,3 BED,2400,3,2,Yes,E,Yes,1229.583333
5716,Extended Coverage,Ready To Move,Fingal,3 BED,1435,3,1,No,E,Yes,577.3867596
5717,Extended Coverage,22-May,DCC,4 BED,3405.1,6,3,No,E,Yes,1333.294176
5718,Constructed Space,Ready To Move,South Dublin,3 BED,1620,3,2,No,D,Yes,910.8024691
5719,Extended Coverage,Ready To Move,Dun Laoghaire,3 BED,1862,3,2,No,D,Yes,761.9495166
